1861000={
	name="William" 
	trait=robust
	trait=hedonist
	trait=hunter
	trait=lustful
	trait=gluttonous
	trait=ambitious
	diplomacy=5
	martial=5
	stewardship=6
	intrigue=5
	learning=8
	2637.2.11={birth=yes}
}
1861030={
	name="Baldiçar"
	dynasty=2036229 #Leschiutta
	culture=friulian
	religion=catholic
	trait=fortune_builder
	trait=architect
	trait=patient
	trait=shy
	trait=diligent
	trait=is_malnourished
	trait=temperate
	trait=selfish
	diplomacy=6
	martial=7
	stewardship=7
	intrigue=6
	learning=7
	2631.12.12={birth=yes}
	2651.4.8={
		add_spouse=1861031
	}
}
1861031={
	name="Orania"
	female=yes
	dynasty=2028172 #Formisano
	culture=neapolitan
	religion=catholic
	trait=indulgent_wastrel
	trait=charitable
	trait=shy
	trait=musician
	trait=proud
	trait=cynical
	trait=feeble
	diplomacy=6
	martial=5
	stewardship=6
	intrigue=7
	learning=7
	2634.3.11={birth=yes}
}
1861032={
	name="Çuana"
	female=yes
	dynasty=2036229 #Leschiutta
	culture=friulian
	religion=catholic
	trait=playful
	trait=fussy
	diplomacy=2
	martial=3
	stewardship=2
	intrigue=2
	learning=3
	father=1861030
	mother=1861031
	2654.11.5={birth=yes}
}
1861033={
	name="Giuanna"
	female=yes
	dynasty=2035191 #Dimonios
	culture=sardinian
	religion=catholic
	father=1861143
	trait=grey_eminence
	trait=unyielding_leader
	trait=gardener
	trait=just
	trait=proud
	trait=stubborn
	diplomacy=7
	martial=7
	stewardship=6
	intrigue=5
	learning=6
	2642.1.5={birth=yes}
}
1861034={
	name="Luca"
	dynasty=2030222 #Innocenti
	culture=tuscan
	religion=catholic
	trait=naive_appeaser
	trait=hunter
	trait=drunkard
	trait=selfish
	trait=ambitious
	trait=zealous
	trait=cruel
	diplomacy=5
	martial=7
	stewardship=7
	intrigue=6
	learning=4
	2642.3.15={birth=yes}
	2644.2.18={
		add_matrilineal_spouse=1861033
	}
}
1861035={
	name="Zema"
	female=yes
	dynasty=2035191 #Dimonios
	culture=sardinian
	religion=catholic
	trait=idolizer
	trait=fussy
	trait=twin
	diplomacy=2
	martial=2
	stewardship=1
	intrigue=2
	learning=3
	father=1861143
	2651.2.18={birth=yes}
}
1861036={
	name="Filumena"
	female=yes
	dynasty=2035191 #Dimonios
	culture=sardinian
	religion=catholic
	trait=conscientious
	trait=haughty
	trait=twin
	diplomacy=2
	martial=2
	stewardship=4
	intrigue=3
	learning=2
	father=1861143
	2651.2.18={birth=yes}
}
1861037={
	name="Camillo"
	dynasty=2032260 #Guareschi
	culture=romagnol
	religion=catholic
	trait=detached_priest
	trait=wroth
	trait=poet
	trait=charitable
	trait=dull
	trait=sturdy
	diplomacy=5
	martial=9
	stewardship=7
	intrigue=7
	learning=6
	2624.10.29={birth=yes}
	2644.11.2={
		add_spouse=1861038
	}
}
1861038={
	name="Letizia"
	female=yes
	dynasty=2032160 #Garagnani
	culture=romagnol
	religion=catholic
	trait=scholarly_theologian
	trait=mystic
	trait=trusting
	trait=humble
	trait=familyperson
	trait=stressed
	diplomacy=5
	martial=5
	stewardship=6
	intrigue=6
	learning=8
	2628.3.17={birth=yes}
}
1861039={
	name="Massimo"
	dynasty=2032260 #Zamboni
	culture=romagnol
	religion=catholic
	trait=tough_soldier
	trait=siege_leader
	trait=slothful
	trait=greedy
	trait=zealous
	trait=paranoid
	trait=lustful
	diplomacy=5
	martial=7
	stewardship=5
	intrigue=6
	learning=5
	father=1861037
	mother=1861038
	2646.9.3={birth=yes}
}
1861040={
	name="Maddalena"
	female=yes
	dynasty=2032260 #Zamboni
	culture=romagnol
	religion=catholic
	trait=fussy
	trait=conscientious
	diplomacy=3
	martial=3
	stewardship=4
	intrigue=4
	learning=3
	father=1861037
	mother=1861038
	2651.8.14={birth=yes}
}
1861041={
	name="Saverio"
	dynasty=2032260 #Zamboni
	culture=romagnol
	religion=catholic
	trait=haughty
	trait=rowdy
	diplomacy=3
	martial=4
	stewardship=3
	intrigue=4
	learning=2
	father=1861037
	mother=1861038
	2654.4.22={birth=yes}
}
1861042={
	name="Latino"
	dynasty=2028226 #Marsicani
	culture=neapolitan
	religion=catholic
	trait=sturdy
	trait=skilled_tactician
	trait=quick
	trait=wroth
	trait=chaste
	trait=honest
	diplomacy=7
	martial=7
	stewardship=6
	intrigue=5
	learning=6
	2630.2.19={birth=yes}
	2666.1.23={
		add_spouse=1861043
	}
}
1861043={
	name="Lavinia"
	female=yes
	dynasty=2028062 #De Luca Bossa
	culture=neapolitan
	religion=catholic
	trait=fortune_builder
	trait=fair
	trait=charitable
	trait=content
	trait=depressed
	diplomacy=6
	martial=4
	stewardship=7
	intrigue=5
	learning=5
	2633.1.3={birth=yes}
}
1861044={
	name="Jacariyè"
	dynasty=2011180 #Premaz
	culture=arpitan
	religion=chronicler
	trait=brilliant_strategist
	trait=mountain_terrain_leader
	trait=brave
	trait=just
	trait=deceitful
	trait=zealous
	trait=drunkard
	trait=hunter
	diplomacy=6
	martial=8
	stewardship=6
	intrigue=7
	learning=6
	2632.8.11={birth=yes}
	2654.4.12={
		add_matrilineal_spouse=1861045
	}
}
1861045={
	name="Aguèta"
	female=yes
	dynasty=2011165 #Vuetaz
	culture=arpitan
	religion=chronicler
	trait=skilled_tactician
	trait=holy_warrior
	trait=fair
	trait=wroth
	trait=proud
	trait=familyperson
	trait=honorable
	trait=stressed
	diplomacy=7
	martial=8
	stewardship=7
	intrigue=7
	learning=7
	2636.2.21={birth=yes}
}
1861046={
	name="Ôrelia"
	female=yes
	dynasty=2011165 #Vuetaz
	culture=arpitan
	religion=chronicler
	trait=haughty
	trait=rowdy
	diplomacy=3
	martial=4
	stewardship=3
	intrigue=2
	learning=3
	father=1861044
	mother=1861045
	2658.4.3={birth=yes}
}
1861047={
	name="Pantión"
	dynasty=2011165 #Vuetaz
	culture=arpitan
	religion=chronicler
	trait=conscientious
	trait=idolizer
	diplomacy=3
	martial=2
	stewardship=4
	intrigue=2
	learning=3
	father=1861044
	mother=1861045
	2662.10.5={birth=yes}
}
1861048={
	name="Ndònie"
	dynasty=2028223 #di Gioia
	culture=neapolitan
	religion=catholic
	trait=zealous
	trait=trusting
	trait=holy_warrior
	trait=humble
	trait=stressed
	trait=pilgrim
	trait=just
	diplomacy=4
	martial=5
	stewardship=5
	intrigue=7
	learning=3
	father=1861118
	2632.11.24={birth=yes}
	2659.7.7={
		add_spouse=1861049
	}
	2661.3.11={effect={add_rival=1861029}}
}
1861049={
	name="Addolorata"
	female=yes
	dynasty=2028050 #Birra
	culture=neapolitan
	religion=catholic
	trait=scholarly_theologian
	trait=fair
	trait=chaste
	trait=kind
	trait=craven
	trait=lunatic
	diplomacy=6
	martial=4
	stewardship=7
	intrigue=7
	learning=6
	2641.12.3={birth=yes}
	2661.3.11={death=yes}
}
1861050={
	name="Salvator"
	dynasty=2028223 #di Gioia 
	culture=neapolitan
	religion=catholic
	trait=fussy
	trait=idolizer
	diplomacy=4
	martial=4
	stewardship=4
	intrigue=3
	learning=3
	mother=1861049
	father=1861048
	2661.3.10={birth=yes}
}
1861051={
	name="Vicienzo"
	dynasty=2028070 #Terracciano
	culture=neapolitan
	religion=catholic
	trait=tough_soldier
	trait=aggressive_leader
	trait=wroth
	trait=dull
	trait=robust
	trait=zealous
	trait=ruthless
	diplomacy=6
	martial=8
	stewardship=7
	intrigue=6
	learning=4
	2630.9.1={birth=yes}
	2652.2.1={
		add_spouse=1861052
	}
}
1861052={
	name="Agata"
	female=yes
	dynasty=2028076 #Sacco
	culture=neapolitan
	religion=catholic
	trait=grey_eminence
	trait=quick
	trait=gregarious
	trait=charitable
	trait=familyperson
	trait=stressed
	diplomacy=7
	martial=6
	stewardship=7
	intrigue=6
	learning=6
	2634.2.18={birth=yes}
}
1861053={
	name="Elvira"
	female=yes
	dynasty=2028070 #Terracciano
	culture=neapolitan
	religion=catholic
	trait=playful
	trait=haughty
	diplomacy=5
	martial=3
	stewardship=4
	intrigue=3
	learning=3
	father=1861051
	mother=1861052
	2654.12.25={birth=yes}
}
1861054={
	name="Fara"
	female=yes
	dynasty=2028070 #Terracciano
	culture=neapolitan
	religion=catholic
	trait=quick
	trait=rowdy
	trait=conscientious
	diplomacy=3
	martial=3
	stewardship=4
	intrigue=3
	learning=3
	father=1861051
	mother=1861052
	2658.1.1={birth=yes}
}
1861055={
	name="Liunardo"
	dynasty=2028070 #Terracciano
	culture=neapolitan
	religion=catholic
	trait=quick
	trait=fussy
	trait=conscientious
	diplomacy=2
	martial=4
	stewardship=3
	intrigue=2
	learning=2
	father=1861051
	mother=1861052
	2660.5.1={birth=yes}
}
1861056={
	name="Francesco"
	dynasty=2028225 #Burbone
	culture=neapolitan
	religion=catholic
	trait=fortune_builder
	trait=ambitious
	trait=deceitful
	trait=shrewd
	trait=fair
	trait=greedy
	trait=strong
	diplomacy=7
	martial=7
	stewardship=7
	intrigue=7
	learning=8
	father=1861116
	2648.2.2={birth=yes}
	2648.2.2={add_claim = k_naples capital=c_salerno}
}
1861057={
	name="Felice"
	dynasty=2027259 #di Giovanni
	culture=sicilian
	religion=catholic
	trait=fortune_builder
	trait=just
	trait=kind
	trait=content
	trait=organizer
	trait=gregarious
	2613.12.21={birth=yes}
	2641.5.5={add_spouse=1861058}
}
1861058={
	name="Ursula"
	dynasty=2027257 #Passanante
	female=yes
	culture=sicilian
	religion=catholic
	2619.2.18={birth=yes}
}
1861059={
	name="Carlu"
	dynasty=2027259 #di Giovanni
	culture=sicilian
	religion=catholic
	father=1861057
	mother=1861058
	2642.8.25={birth=yes}
}
1861060={
	name="Mefisto"
	dynasty=2027260 #Bordonaro
	culture=sicilian
	religion=thelema
	trait=ambitious
	trait=deceitful
	trait=shrewd 
	trait=quick 
	trait=fair 
	trait=intricate_webweaver
	2636.11.22={birth=yes}
}
1861061={
	name="Gioanna"
	female=yes
	dynasty=2031234 #Agnesi
	culture=lombard
	religion=catholic
	martial=5
	diplomacy=4
	stewardship=5
	intrigue=6
	learning=5
	trait=grey_eminence
	trait=crowned_by_pope 
	trait=quick
	trait=groomed
	trait=paranoid
	trait=zealous
	trait=charitable
	trait=chaste
	trait=wroth
	trait=authoritative
	2640.7.14={birth=yes}
	2664.4.8={effect={add_lover=1861061}}
	2666.1.1={effect={add_rival=1861023}}
	2710.1.1={death=yes}
}
1861062={
	name="Francesc"
	dynasty=2031117 #Manzoni
	culture=lombard
	religion=catholic
	martial=5
	diplomacy=4
	stewardship=5
	intrigue=4
	learning=5
	trait=naive_appeaser
	trait=crowned_by_pope
	trait=poet
	trait=trusting
	trait=honest
	trait=charitable
	trait=gluttonous
	trait=stubborn
	2642.8.10={birth=yes}
	2663.8.2={add_spouse = 1861061}
	2666.1.1={death={
			death_reason=death_murder
			killer=1861023
		}
	}
}
1861063={
	name="Pietro"
	dynasty=2031060 #Beretta
	culture=lombard
	religion=catholic
	martial=6
	diplomacy=4
	stewardship=6
	intrigue=5
	learning=5
	trait=skilled_tactician
	trait=duelist
	trait=diligent
	trait=charitable
	trait=lustful
	trait=ambitious
	2632.5.20={birth=yes}
	2650.5.20={effect={add_artifact=ate_firearm}}
	2652.3.1={
		add_spouse=1861064
	}
	2700.1.1={death=yes}
}
1861064={
	name="Leonora"
	female=yes
	dynasty=2031186 #Simonetta
	culture=lombard
	religion=catholic
	martial=4
	diplomacy=6
	stewardship=6
	intrigue=5
	learning=5
	trait=mastermind_theologian
	trait=scholar
	trait=cynical
	trait=gregarious
	trait=kind
	trait=content
	2635.2.18={birth=yes}
	2700.1.1={death=yes}
}
1861065={
	name="Ustin"
	dynasty=2031235 #Nervi
	culture=lombard
	religion=catholic
	martial=4
	diplomacy=5
	stewardship=4
	intrigue=5
	learning=6
	trait=fortune_builder
	trait=erudite
	trait=architect
	trait=diligent
	trait=content
	trait=charitable
	trait=proud
	2591.6.21={birth=yes}
	2623.10.1={
		add_spouse=1861066
	}
	2681.1.1={death=yes}
}
1861066={
	name="Gabriela"
	female=yes
	dynasty=2031202 #Stampa
	culture=lombard
	religion=catholic
	martial=5
	diplomacy=5
	stewardship=4
	intrigue=5
	learning=5
	trait=underhanded_rogue
	trait=erudite
	trait=trusting
	trait=diligent
	trait=content
	trait=selfish
	2595.8.10={birth=yes}
	2689.1.1={death=yes}
}
1861067={
	name="Zerill"
	dynasty=2031235 #Nervi
	culture=lombard
	religion=catholic
	martial=5
	diplomacy=5
	stewardship=4
	intrigue=5
	learning=5
	trait=underhanded_rogue
	trait=architect
	trait=gregarious
	trait=paranoid
	trait=diligent
	trait=stubborn
	trait=authoritative
	father=1861065
	mother=1861066
	2628.10.29={birth=yes}
	2700.1.1={death=yes}
}
1861068={
	name="Delaida"
	female=yes
	dynasty=2031235 #Nervi
	culture=lombard
	religion=catholic
	martial=5
	diplomacy=5
	stewardship=5
	intrigue=5
	learning=5
	trait=thrifty_clerk
	trait=charitable
	trait=ruthless
	trait=ambitious
	trait=patient
	father=1861065
	mother=1861066
	2631.1.10={birth=yes}
	2700.1.1={death=yes}
}
1861069={
	name="Luigi"
	dynasty=2031236 #Volta
	culture=lombard
	religion=catholic
	martial=4
	diplomacy=3
	stewardship=4
	intrigue=5
	learning=5
	trait=mastermind_theologian
	trait=quick
	trait=scholar
	trait=shy
	trait=familyperson
	trait=humble
	trait=diligent
	trait=honest
	2632.10.29={birth=yes}
	2665.12.10={
		add_spouse=1861068
	}
	2700.1.1={death=yes}
}
1861070={
	name="Tilio"
	dynasty=2031236 #Volta
	culture=lombard
	religion=catholic
	martial=1
	diplomacy=1
	stewardship=1
	intrigue=1
	learning=1
	father=1861069
	mother=1861068
	2666.2.10={birth=yes}
	2750.1.1={death=yes}
}
1861071={
	name="Cleto"
	dynasty=2026171 #Morera
	culture=piedmontese
	religion=catholic
	martial=4
	diplomacy=3
	stewardship=4
	intrigue=4
	learning=4
	trait=tough_soldier
	trait=scarred
	trait=just
	trait=lustful
	trait=rude
	trait=slothful
	trait=honest
	2640.8.11={birth=yes}
	2700.1.1={death=yes}
}
1861072={
	name="Maria Grazia"
	female=yes
	dynasty=2034228 #
	culture=venetian
	religion=catholic
	martial=4
	diplomacy=6
	stewardship=6
	intrigue=5
	learning=5
	trait=elusive_shadow
	trait=kind
	trait=paranoid
	trait=cynical
	trait=chaste
	2634.8.20={birth=yes}
	2710.1.1={death=yes}
}
1861073={
	name="Nicolò"
	dynasty=2034228 #Mazzurana
	culture=venetian
	religion=catholic
	martial=5
	diplomacy=6
	stewardship=5
	intrigue=4
	learning=5
	trait=charismatic_negotiator
	trait=stubborn
	trait=proud
	trait=ambitious
	trait=diligent
	trait=erudite
	2634.6.25={birth=yes}
	2720.1.1={death=yes}
}
1861074={
	name="Antonio"
	dynasty=2029202 #Chigi
	martial=3
	diplomacy=4
	stewardship=4
	intrigue=5
	learning=3
	culture=umbrian
	religion=catholic
	trait=grey_eminence
	trait=quick
	trait=stutter
	trait=groomed
	trait=diligent
	trait=content
	trait=lustful
	trait=just
	2643.12.9={birth=yes}
	2700.3.2=={death=yes}
}
1861075={
	name="Gianfranco" 
	dynasty=2032259 #Alberoni
	culture=romagnol
	religion=catholic
	trait=elusive_shadow
	trait=hunter
	trait=erudite
	trait=proud
	trait=honorable
	2629.6.2={birth=yes}
	2700.1.1={death=yes}
}
1861076={
	name="Renato" 
	dynasty=2032238 #Villa
	culture=romagnol
	religion=catholic
	trait=tough_soldier
	trait=mystic
	trait=just
	trait=chaste
	trait=brave
	trait=trusting
	2641.1.4={birth=yes}
	2657.6.2={
		add_spouse=1861077
	}
	2700.1.1={death=yes}
}
1861077={
	name="Giosetta"
	female=yes
	dynasty=2032122 #Vecchi
	culture=romagnol
	religion=catholic
	martial=3
	diplomacy=4
	stewardship=4
	intrigue=5
	learning=3
	trait=fortune_builder
	trait=craven
	trait=temperate
	trait=chaste
	trait=shy
	2641.2.1={birth=yes}
	2700.1.1={death=yes}
}
1861078={
	name="Antonietta"
	female=yes
	dynasty=2032238 #Villa
	culture=romagnol
	religion=catholic
	martial=3
	diplomacy=1
	stewardship=1
	intrigue=2
	learning=3
	trait=playful
	trait=willful
	father=1861076
	mother=1861077
	2658.2.21={birth=yes}
	2700.1.1={death=yes}
}
1861079={
	name="Orsino"
	dynasty=2032238 #Villa
	culture=romagnol
	religion=catholic
	martial=1
	diplomacy=3
	stewardship=1
	intrigue=2
	learning=1
	trait=haughty 
	trait=willful
	father=1861076
	mother=1861077
	2659.1.15={birth=yes}
	2700.1.1={death=yes}
}
1861080={
	name="Lorenço"
	dynasty=2033228 #Delle Piane
	culture=ligurian
	religion=catholic
	martial=4
	diplomacy=4
	stewardship=4
	intrigue=5
	learning=4
	trait=grey_eminence 
	trait=honorable
	trait=cynical
	trait=brave
	trait=honest
	2628.11.17={birth=yes}
	2653.8.12={
		add_spouse=1861081
	}
	2700.1.1={death=yes}
}
1861081={
	name="Brigidin"
	female=yes
	dynasty=2033114 #Olivari
	culture=ligurian
	religion=catholic
	martial=4
	diplomacy=5
	stewardship=4
	intrigue=5
	learning=4
	trait=naive_appeaser 
	trait=paranoid
	trait=selfish
	trait=rude
	trait=honorable
	2631.3.1={birth=yes}
	2700.1.1={death=yes}
}
1861082={
	name="Alescio"
	dynasty=2033228 #Delle Piane
	culture=ligurian
	religion=catholic
	martial=1
	diplomacy=3
	stewardship=3
	intrigue=2
	learning=1
	trait=playful 
	trait=haughty
	trait=idolizer
	trait=willful
	father=1861080
	mother=1861081
	2653.3.20={birth=yes}
	2700.1.1={death=yes}
}
1861083={
	name="Lusciandro"
	dynasty=2033228 #Delle Piane
	culture=ligurian
	religion=catholic
	martial=1
	diplomacy=3
	stewardship=3
	intrigue=2
	learning=1
	trait=playful 
	trait=affectionate
	trait=rowdy
	trait=willful
	father=1861080
	mother=1861081
	2654.8.12={birth=yes}
	2700.1.1={death=yes}
}
1861084={
	name="Bianchin"
	female=yes
	dynasty=2033228 #Delle Piane
	culture=ligurian
	religion=catholic
	martial=1
	diplomacy=4
	stewardship=4
	intrigue=2
	learning=1
	trait=idolizer
	trait=affectionate
	trait=willful
	father=1861080
	mother=1861081
	2655.2.28={birth=yes}
	2700.1.1={death=yes}
}
1861085={
	name="Pietro"
	dynasty=2030082 #della Leopolda
	culture=tuscan
	religion=catholic
	martial=1
	diplomacy=4
	stewardship=2
	intrigue=4
	learning=1
	trait=flamboyant_schemer
	trait=kind
	trait=deceitful
	trait=shrewd
	trait=schemer
	2630.2.28={birth=yes}
	2700.1.1={death=yes}
}
1861086={
	name="Massimiano"
	dynasty=2029204 #Carlioni
	culture=umbrian
	religion=catholic
	martial=1
	diplomacy=4
