###ÄNSI###

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
celebrate_st_patricks_day;Celebrate Saint Patrick's Day;;;;;;;;;;;;;x
celebrate_st_patricks_day_desc;Saint Patrick is known best for driving away snakes in a mythical emerald isle far to the east. Although this feat may seem rather remote and disconnected from the modern age, Saint Patrick is nonetheless one of the most popular saints in all of Christendom, and his feast day is considered a major holiday in most of Old America and Canada.;;;;;;;;;;;;;x
TXT_st_patricks_day_decision;the traditional Saint Patrick's Day festivities begin.;;;;;;;;;;;;;x
st_patricks_timer;Celebrated Saint Patrick's Day;;;;;;;;;;;;;x
EVTDESC_st_patricks_1;Nobody remembers why Saint Patrick came to be so well-regarded in Old America and Canada, but his feast day draws large crowds each year. Saint Patrick's Day is traditionally celebrated with a joyous procession through the streets followed by a series of raucous nighttime feasts. It is also customary to wear green clothing, the color of Saint Patrick.;;;;;;;;;;;;;x
EVTOPTA_st_patricks_1;I must find my green robes...;;;;;;;;;;;;;x
EVTDESC_st_patricks_2;The annual Saint Patrick's Day procession has begun. Your capital's streets are filled with green-clad pilgrims from across the land, and the air is filled with the sounds of cheers and ancient ballads. Many of the pilgrims make a large show of throwing away and trampling over decorative snakes, imitating Saint Patrick's feat of driving away snakes from his native land.;;;;;;;;;;;;;x
EVTOPTA_st_patricks_2;Oh, Danny boy...;;;;;;;;;;;;;x
EVTDESC_st_patricks_3;Night has fallen, and the procession has come to an end. The people are now heading to local taverns for the start of the second half of the celebration - the feasts. These "feasts" usually devolve into drunken, hedonistic revelry, so more religious [Root.Religon.GetName]s frown on them. However, they are still an integral part of the celebrations for most.;;;;;;;;;;;;;x
EVTOPTA_st_patricks_3;To the tavern!;;;;;;;;;;;;;x
EVTOPTB_st_patricks_3;I think I'll pass this year.;;;;;;;;;;;;;x
TXT_st_patricks_drunk;You get a little carried away with your drink...;;;;;;;;;;;;;x
TXT_st_patricks_end;Saint Patrick's Day comes to an end.;;;;;;;;;;;;;x
EVTDESC_st_patricks_4;You wake up in an alleyway, with the sun shining overhead and your head pounding in pain. Your memory slowly begins to return to you. You went to a tavern last night after the Saint Patrick's Day procession. Then you went to another tavern... and another tavern... You wince in pain after glancing up at the sky. You should probably get some rest.;;;;;;;;;;;;;x
EVTOPTA_st_patricks_4;Ugh...;;;;;;;;;;;;;x
EVTOPTB_st_patricks_4;I know an excellent remedy...;;;;;;;;;;;;;x
EVTDESC_st_patricks_5;You wake up in an alleyway, with the sun shining overhead and your entire body aching in pain. Your memory slowly begins to return to you. Someone at the tavern started a fight with you... or perhaps you started a fight with them? In any case, the entire tavern ended up joining the melee, and now you're paying the price...;;;;;;;;;;;;;x
EVTOPTA_st_patricks_5;I don't think I can walk this off...;;;;;;;;;;;;;x
EVTDESC_st_patricks_6;You wake up in your bed, feeling tired yet oddly happy. Your memory begins to return to you. You had a great time at the tavern! You sang many ballads, told a few somewhat embellished stories, and were generally the center of attention all night. And the best part? You don't even have a hangover!;;;;;;;;;;;;;x
EVTOPTA_st_patricks_6;I can't wait for next year!;;;;;;;;;;;;;x
EVTDESC_st_patricks_7;You wake up in an unfamiliar bed, in an unfamiliar room... next to an unfamiliar person. As you struggle to remember what you did last night, you hear a crude-sounding, alcohol-scented voice from the other side of the bed. "Morning there, [Root.GetLadLass]. You wanna go again? I haven't had a tumble that good in ages, and that's really saying something.";;;;;;;;;;;;;x
EVTOPTA_st_patricks_7;Uh... how about breakfast?;;;;;;;;;;;;;x
EVTOPTB_st_patricks_7;Uh... how about breakfast?;;;;;;;;;;;;;x
EVTOPTC_st_patricks_7;Uh... how about breakfast?;;;;;;;;;;;;;x
EVTOPTD_st_patricks_7;Uh... how about breakfast?;;;;;;;;;;;;;x
EVTDESC_st_patricks_8;The child produced from your tryst on Saint Patrick's Day seems to possess an unuually high level of strength and intelligence. Perhaps your encounter wasn't as ill-advised as you thought.;;;;;;;;;;;;;x
EVTOPTA_st_patricks_8;I am proud of my child.;;;;;;;;;;;;;x

colonial_ducal_conquest_desc;As a foreign colonizer, it is our rightful duty to civilize these New World savages and bring them into the reigns of our glorious empire.;;;;;;;;;;;;;x 

